TITLE,DATE,TEXT,UID
"Galactic News: Further Migration to Colonia",30 DEC 3303,"Although the Thargoid attacks have so far been confined to the Pleiades Nebula, many apparently fear that the aliens’ next target will be the core systems. This is evidenced by the huge numbers of citizens fleeing to Colonia.

 The Colonia Council, the region’s governing body, has confirmed that the number of refugees has skyrocketed in recent weeks, and that the recent attacks against starports have only accelerated the rate of immigration.

 Magen Wolfe, a spokesperson for the Council, said:

 “All who seek sanctuary in Colonia will be welcomed, but the truth is that the core systems are no more likely to be targeted by the Thargoids than Colonia. We want to offer our support, but there is a limit to how many people the region can support.'

 A campaign to build additional outposts in Colonia took place earlier this month, but the pace of immigration means that further construction initiatives may be necessary to support the region’s rapidly expanding population.",https://community.elitedangerous.com/en/galnet/uid/5a3ced457680c33be05682fa
"Galactic News: Core Dynamics Campaign Concludes",29 DEC 3303,"Core Dynamics has announced that its construction initiative has received the wholehearted support of the galactic community. Hundreds of pilots contributed to the campaign by delivering construction materials to Klimuk Ring, and by eliminating agitators in the Guaras system. The materials will be used to support a new wave of manufacture to replace ships lost in Thargoid attacks.

 A spokesperson for Core Dynamics released the following statement:

 “We are immensely grateful to the galactic community for its support. The acceleration of our production schedule has already begun, and our new ships should be rolling off the production line soon.”

 Pilots who contributed to the initiative can now collect their rewards from Klimuk Ring in the Guaras system.

 ",https://community.elitedangerous.com/en/galnet/uid/5a3cee517680c3316f6074ce
"Galactic News: More Starports Attacked",23 DEC 3303,"News feeds have confirmed that three further starports have been attacked by Thargoids. The affected stations are Hudson Observatory in HIP 17694, Cavalieri in Electra and Bao Landing in HIP 17497. The attacks have resulted in significant damage and hundreds of casualties.

 As with last week’s attacks, the strikes were executed by Interceptor Medusas – a particularly devastating class of Thargoid attack ship.

 Authorities in the affected systems have entreated independent pilots to support relief operations by evacuating civilians from the affected starports. They have also appealed for food, water, basic medicines and natural fabrics.",https://community.elitedangerous.com/en/galnet/uid/5a3ceced6a3e8049274181c5
"Community Goal: Core Dynamics Campaign",22 DEC 3303,"Core Dynamics, one of the galaxy's largest starship manufacturers, has announced a new construction initiative in response to the rise in Thargoid attacks.

 A spokesperson for Core Dynamics released the following statement:

 'The number of ships lost to Thargoid attacks is increasing rapidly, leaving us with no option but to accelerate our production schedule. But we cannot do this without the support of the galactic community.'

 Guaras Blue Creative Partners have agreed to oversee the initiative, asking pilots to deliver titanium, power converters and superconductors to Klimuk Ring in the Guaras system. When the campaign officially ends on the 28th of December 3303, a discount of up to 20 per cent will be applied to the Federal Dropship, Federal Gunship and Federal Assault Ship for one week. Additionally, the rank requirements for those ships will be temporarily lifted.

 The campaign begins on the 21st of December 3303 and will run for one week. If the final target is met earlier than planned, the campaign will end immediately.",https://community.elitedangerous.com/en/galnet/uid/5a3bd4937680c321e364d4a0
"Galactic News: Authorities Urge Public Not to Panic",21 DEC 3303,"Following the devastating news that the Thargoids have attacked three starports in the Pleiades, authorities in the Taygeta system, home to one of the affected stations, have released the following statement:

 “Our priorities remain getting civilians to safety and securing the commodities we need to stabilise the starport. Independent pilots are encouraged to deliver foods, water, basic medicines and natural fabrics to Titan’s Daughter and other affected stations.”

 “The important thing is not to panic. The situation, although critical, is in hand.”

 It is currently unclear why the pertinent starports were targeted by the Thargoids, but Aegis is investigating the issue.",https://community.elitedangerous.com/en/galnet/uid/5a3a4ffbd27df13ee220cc2f
"Galactic News: Lakon Announces New Ship",17 DEC 3303,"The Alliance has commissioned Lakon Spaceways to produce a new ship in response to the recent Thargoid attacks in the Pleiades. The vessel, which has been named the Type-10 Defender, represents a comprehensive revision of the Type–9 Heavy.

 Lakon issued the following statement:

 “The Type-10 boasts greater speed, acceleration and manoeuvrability than the Type-9, and also offers a more focused hardpoint loadout. We envisage it being particularly effective in combat situations.”

 The development is significant in that it represents the first overtly military response from the Alliance to the rising Thargoid threat.

 Lakon has committed to an aggressive production schedule that should see the Type-10 reaching retailers next week.",https://community.elitedangerous.com/en/galnet/uid/5a33f0d7c8717065ab310fde
"Galactic News: Colonia Campaign Concludes",16 DEC 3303,"The Colonia Council has announced that its appeal for construction materials has reached a successful conclusion. Scores of pilots contributed to the campaign by delivering materials to Pilkington Orbital, and by eliminating agitators in the Einheriar system. The materials will be used to construct new outposts in the Colonia region to support a recent influx of immigrants.

 As the campaign drew to a close, the Colonia Council issued the following statement:

 “Colonia has always enjoyed the support of the galactic community, and the success of this initiative proves this support has not diminished. We will now set to work creating homes and employment opportunities for our new friends and neighbours.”

 Pilots who contributed to the initiative can now collect their rewards from Pilkington Orbital in the Einheriar system.",https://community.elitedangerous.com/en/galnet/uid/5a33a6dd02ab4528ed795f6a
"Community Goal: Operation Whirling Dervish",15 DEC 3303,"The GalCop Colonial Defence Commission has embarked on a campaign to establish a new Coriolis starport in the Ogmar system. The campaign – dubbed Operation Whirling Dervish – is designed to support further expansion in the Colonia region.

 Lou Brady, a spokesperson for the organisation, released the following statement:

 'The new starport will be able to accommodate more people, produce high-tech goods, and service larger vessels, making it an ideal platform for future activity in Colonia.'

 The GalCop Colonial Defence Commission has placed an open order for atmospheric processors, CMM composites, indium, tantalum and thermal cooling units, and has promised to reward pilots who deliver these commodities to Dervish Platform in the Ogmar system.

 The campaign begins on the 14th of December 3303 and will run for one week. If the final target is met earlier than planned, the campaign will end immediately.",https://community.elitedangerous.com/en/galnet/uid/5a328c06b3970035cb6dbc6b
"Galactic News: Galactic Leaders Condemn INRA",14 DEC 3303,"Following the discovery of further INRA outposts, Emperor Arissa Lavigny-Duval and Alliance Prime Minister Edmund Mahon have issued statements denouncing the now-defunct INRA.

 Speaking from the Imperial Palace on Capitol, Emperor Arissa Lavigny-Duval said:

 “What the INRA records underscore is that even when faced with dire threats, we cannot abandon our principles. Evidently, the INRA crossed ethical boundaries in its pursuit of victory. Defending civilisation cannot come at the cost of our humanity.”

 Alliance Prime Minister Edmund Mahon added the following:

 “While the INRA records are indeed disturbing, it was the account of John Jameson that troubled me most. Here we have a man – who evidently did a great deal to defend civilisation from the Thargoids – who was deceived, manipulated and ultimately murdered by the INRA.”

 “I am aware of concerns that Aegis could continue in the same vein. Fortunately, Aegis is bound by the strictest possible codes of conduct. We will not make the same mistakes.”

 Meanwhile, the descendents of those affected by the INRA’s activities are reportedly investigating the possibility of legal action. Legal experts have advised that such efforts are unlikely to yield results, however, given the amount of time that has passed.",https://community.elitedangerous.com/en/galnet/uid/5a311002e0cf5b6e2045ed05
"Community Goal: Diamond Frogs Campaign",08 DEC 3303,"The Diamond Frogs, a mercenary outfit based on the lawless fringes of the Capricorni sector, have announced plans to build a new installation in the 63 G. Capricorni system.

 The faction’s current base of operations has become virtually uninhabitable, as its power and cooling systems have been pushed past their limits.

 In support of this goal, the faction has placed an open order for Beer, Liquor, Coffee, Legal Narcotics, Computer Components, Power Generators and Superconductors. They have promised to reward pilots who deliver these commodities to Skvortsov Orbital in the 63 G. Capricorni system.

 The campaign begins on the 7th of December 3303 and will run for one week. If the final target is met earlier than planned, the campaign will end immediately.",https://community.elitedangerous.com/en/galnet/uid/5a296786aa348854775ff156
"Galactic News: Starport Status Update",06 DEC 3303,"This report presents the latest data on starports experiencing technical issues as a result of Thargoid Sensor related interference.

 The following starports are currently closed:

 Jeury Port, Regi

 Jones City, Akba Atacab

 Filippenko Dock, Ngulungbara

 Meanwhile, the following starports are on the brink of closure:

 Braun Orbital, Tengye

 Kuttner's Pride, Barnard's Star",https://community.elitedangerous.com/en/galnet/uid/5a26c71c18efb6236601fbf6
"Galactic News: New Aegis Initiative",02 DEC 3303,"Aegis has announced plans to dramatically expand its research division with the creation of over twenty new laboratories, situated at starports across the galaxy.

 Professor Alba Tesreau, Aegis’s chief scientific advisor, gave the following statement to The Imperial Herald:

 “We must do everything we can to further our understanding of the Thargoids. That’s why these new research centres are so important. Everything we can learn about the Thargoids’ history, biology and psychology is of potential value.”

 “If we could understand the Thargoids – really understand them – perhaps we could broker some kind of truce. I, for one, have not given up on the idea of peace.”

 “Over the past few months, we have conducted a massive recruitment drive to secure some of the galaxy’s best and brightest minds. Now it’s time to find out what those minds can accomplish.”

 The starports involved in the initiative include:

 Arc's Faith, HR 1183

 Armstrong Enterprise, Bhal

 Artemis Lodge, Celaeno

 Asami Orbital, Pleiades Sector JC-V D2-62

 Bao Landing, HIP 17497

 Beaufoy Vision, Nauni

 Bennington's Rest, 42 N Persei

 Borrego's Vision, Pleiades Sector IH-V C2-7

 Cavalieri, Electra

 Cleaver Prospect, Pleiades Sector HR-W d1-57

 Copernicus Observatory, Asterope

 Cyllene Orbital, Atlas

 Exodus Point, Hyades Sector AB-W B2-2

 Gaiman Dock, 49 Arietis

 Hudson Observatory, HIP 17694

 Kamov Survey, HIP 17892

 Kipling Orbital, Pleiades Sector KC-V C2-11

 Liman Legacy, HIP 16753

 Malthus Terminal, Pleiades Sector HR-W D1-41

 Obsidian Orbital, Maia

 Reed's Rest, Merope

 Rix Depot, Pleiades Sector IH-V C2-5

 The Oracle, Pleiades Sector IR-W D1-55

 Titan's Daughter, Taygeta

 Weyn Dock, 64 Arietis",https://community.elitedangerous.com/en/galnet/uid/5a212339e2169204573ec830
"Galactic News: Fifth Aegis Campaign Concludes",01 DEC 3303,"An Aegis spokesperson has confirmed that the organisation’s campaign in the Electra system has come to an end. The operation was designed to reduce the number of Thargoids operating in the system, and to gather Thargoid material for Aegis’s ongoing research and development programme.

 The spokesperson released the following statement:

 “The recovered Thargoid materials will be used to test larger versions of the AX dumbfire missile and AX Multi-Cannon, which will soon be made available to the galactic community at planetary military bases. Our thanks go to those who supported this operation.”

 Pilots who contributed to the initiative can now collect their rewards from Cavalieri in the Electra system.",https://community.elitedangerous.com/en/galnet/uid/5a201e6ca4ade436304e092a
"Galactic News: Starport Status Update",30 NOV 3303,"This report presents the latest data on starports experiencing technical issues as a result of Thargoid Sensor related interference.

 The following starports are currently closed:

 Maupertuis Dock, Zhao

 Jeury Port, Regi

 Rotsler Enterprise, Bogatiku

 Hernandez Dock, Khwatka

 White Enterprise, Piran

 Langford Survey, Xihe

 Aachen Town, Alioth

 Jones City, Akba Atacab

 Virtanen Gateway, Palaemon

 Lemmy's Rock, HIP 96456

 Hauck Dock , Theta Sculptoris

 Meanwhile, the following starports are on the brink of closure:

 Filippenko Dock, Ngulungbara

 ",https://community.elitedangerous.com/en/galnet/uid/5a1e883938891d746e4b8c43
"Community Goal: Fifth Aegis Initiative",24 NOV 3303,"Aegis has announced a second military strike on a Thargoid-occupied system, following the success of Operation Andronicus. The operation will focus on Electra, where high concentrations of Thargoid vessels have been reported.

 Admiral Aden Tanner, Aegis's chief military liaison, elaborated on the nature of the operation:

 'We have two primary objectives: To reduce the number of Thargoid vessels operating in Electra, and to gather Thargoid material with which to test and calibrate our anti-Thargoid technologies.'

 Aegis Research has promised to reward pilots who hand in Pilots Federation Combat Bonds at Cavaleiri in the Electra system.

 The campaigns begin on the 23rd of November and will run for one week. If the final target is met earlier than planned, the campaign will end immediately.",https://community.elitedangerous.com/en/galnet/uid/5a16e672c94f8e30847602ba
"Galactic News: Starport Status Update",22 NOV 3303,"This report presents the latest data on starports experiencing technical issues as a result of Thargoid Sensor related interference.

 The following starports are currently closed:

 Reiter City, Oppi

 Meanwhile, the following starports are on the brink of closure:

 Maupertuis Dock, Zhao

 Jeury Port, Regi

 Rotsler Enterprise, Bogatiku

 Hernandez Dock, Khwatka

 White Enterprise, Piran

 Waldeck Dock, Sanda

 Finney Ring, Jitabos

 Langford Survey, Xihe

 Aachen Town, Alioth

 Jones City, Akba Atacab

 Virtanen Gateway, Palaemon

 Lemmy's Rock, HIP 96456

 Hauck Dock, Theta Sculptoris",https://community.elitedangerous.com/en/galnet/uid/5a145dc3a065d5442c5e68d6
"Galactic News: Galactic Authorities Call for Calm",18 NOV 3303,"As reports continue to pour in of Thargoid attacks, the galaxy’s leaders have issued statements urging the public to remain calm.

 In a missive released to a number of news feeds, Emperor Arissa Lavigny-Duval said:

 “It is true that the Thargoids represent a pertinent threat, but it is important that we understand the scale of this threat. At present, they are active only in the Pleiades Nebula, and there is no reason to believe they will spread beyond this area. Indeed, it is entirely possible that they lack the numbers to do so.”

 Federation President Zachary Hudson adopted a similar stance, while making an allusion to Federal-Imperial solidarity:

 “They haven’t set foot outside the Pleiades, and if they do, we have the means to deal with them. With the Federation and the Empire working together, there is no enemy we cannot overcome. The galactic community has nothing to fear.”

 But the buoyancy of these statements was undercut by Admiral Aden Tanner, Aegis’s chief military liaison, who offered the following assessment to The Federal Times:

 “We have no intelligence regarding the Thargoids’ long-term plans, and it would be premature – if not irresponsible – to assert that they will remain in the Pleiades. I can assure you, however, that this is a matter Aegis is actively investigating.”",https://community.elitedangerous.com/en/galnet/uid/5a0eba46528d3924954cf324
"Community Goal: Lunch in Leesti",17 NOV 3303,"Food lovers from across the galaxy will converge on George Lucas Station in the Leesti system this week in anticipation of a one-of-a-kind gastronomic festival.

 'Lunch in Leesti' is a week-long celebration of Leesti's finest restaurants and wineries, offering attendees a chance to sample food prepared by the Master Chefs of Noti.

 In addition to enjoying various regional dishes, guests will have an opportunity to sample a range of intergalactic delicacies, imported at great expense by the event organisers, Independent Leesti for Equality. The organisation has placed an open order for Aepyornis Eggs, Ceti Rabbits, Tanmark Tranquil Tea, Tarach Spice and Utgaroar Millennial Eggs, and has promised to reward pilots who deliver these rare commodities to George Lucas Station in Leesti.

 Aide Elias Hampton, a spokesperson for Independent Leesti for Equality, announced:

 'Independent Leesti for Equality is proud to sponsor this year's Leesti food festival, and will gladly reimburse pilots who supply us with the requested goods.'

 The campaign begins on the 16th of November 3303 and will run for one week. If the final target is met earlier than planned, the campaign will end immediately.",https://community.elitedangerous.com/en/galnet/uid/5a0da93cc35f786a62343029
"Galactic News: Previously Unseen Thargoid Ships in Electra",16 NOV 3303,"Recent reports indicate that a new kind of Thargoid vessel has been encountered in the Electra system. The previously unseen ships were encountered by independent pilots investigating the wreckage of the Aida, a Hogan-class cargo vessel that was apparently attacked by Thargoids.

 The Thargoid ship has been classified as a ‘Basilisk’ Interceptor by the Pilots Federation.

 System security forces in Electra offered the following assessment:

 “The Basilisk hits harder than the Cyclops, and it’s tougher too. It also deploys a denser swarm of Thargons. Interestingly, all the Basilisks we’ve encountered are heavily scarred, almost as if they’ve been around longer, taken more punishment.”

 Authorities in Electra have warned those living in the system to exercise extreme caution, and not to engage Thargoid ships under any circumstances.",https://community.elitedangerous.com/en/galnet/uid/5a0c1121b9e40e708759f664
"Galactic News: Message Found in Celaeno",14 NOV 3303,"A number of news feeds have reported the discovery of an intriguing message in the Celaeno system. The message, which was recovered from a listening post, apparently contains an emergency broadcast from the Aida, a Hogan-class cargo vessel.

 The precise nature of the message has not been confirmed, and it is not known if security forces in Celaeno have investigated the issue.",https://community.elitedangerous.com/en/galnet/uid/5a099049f6082b67a21e49b2
"Galactic News: Black Fleet Takes Control of Tiliala",11 NOV 3303,"The GalNet News Agency has learned that the Black Fleet, an independent organisation formerly based in Varpet, has become the dominant faction in the Tiliala system.

 The news is significant because access to the system – which was previously controlled by the Conservatives of Tiliala – is dependent on the possession of a permit.

 It is understood that the right to grant access to the system is now shared by both the Black Fleet and the Conservatives of Tiliala.

 Lanquo Parkes, an expert in territorial disputes, offered the following assessment:

 “This is a highly unusual situation, but the Black Fleet expended considerable effort to take control of Tiliala, and it is only right that it be able to control access to the system. The Conservatives of Tiliala have retained the right to issue permits, but they now have only a marginal presence in Tiliala, having relocated to a Wells-class Carrier in nearby Akandinigua.”

 The Conservatives have secured the support of various corporate and political partners to ensure their new asset does not fall into enemy hands. One of these partners, who elected to remain anonymous, said:

 “We do not want to see our friends suffer any further losses. We have therefore taken steps to ensure their new home, Tiliala’s Lament, cannot be taken from them.”",https://community.elitedangerous.com/en/galnet/uid/5a057eceda59a26bc40b9828
"Galactic News: Operation Andronicus Concludes",10 NOV 3303,"Admiral Aden Tanner has confirmed that Operation Andronicus has reached a successful conclusion. Hundreds of pilots supported the initiative by taking to their ships to deliver a strategic blow to the Thargoids in the Pleiades Sector IR-W d1-55.

 As the campaign drew to a close, Admiral Aden Tanner released a statement:

 “The operation’s success proves that small ships, when piloted by seasoned Commanders, are our best hope of addressing the Thargoid threat, at least for the present. Every pilot who took part in this initiative has my sincere gratitude.”

 Pilots who participated in the conflict can now collect their rewards from The Oracle in the Pleiades Sector IR-W d1-55 system.",https://community.elitedangerous.com/en/galnet/uid/5a04628c7c8ea44d3104a3d2
"Community Goal: Rescue Operation in the Pleiades",03 NOV 3303,"Cooper Research Associates have launched a rescue operation to recover personal effects, data and people from Thargoid attack sites in the Pleiades Nebula.

 The organisation has promised to reward pilots who deliver occupied escape pods, damaged escape pods, black boxes and personal effects to the search-and-rescue contact at The Oracle in the Pleiades Sector IR-W d1-55 system.

 A spokesperson for Cooper Research Associates released a brief statement:

 “Eyewitnesses have reported that Thargoid vessels are taking occupied escape pods from ships they have attacked. It is therefore essential that we recover any and all individuals from these attack sites before they can be similarly abducted.”

 The operation begins on the 2nd of November 3303 and will run for one week. If the final target is met earlier than planned, the campaign will end immediately.",https://community.elitedangerous.com/en/galnet/uid/59fb51f4adf3397051674b5d
"Galactic News: Halsey Comments on End of Cold War",28 OCT 3303,"With the news that the Empire has withdrawn its fleets from the Pleiades Nebula, apparently signalling the end of the Federal-Imperial cold war, former Federal president Jasmina Halsey has commented on the cessation of hostilities.

 Addressing a large crowd in Nerah City on Argent’s Claim, Halsey said:

 “Like many of you, I rejoiced when I heard the Federation had recalled its ships. But my jubilation was undercut by the knowledge that our protests and entreaties had failed to move a single Federal or Imperial vessel. Were it not for the emergence of a greater potential threat, the Empire and Federation might still be installed in the Pleiades, squabbling over barnacles. And while the impact of the conflict could have been far greater, it was still far from a bloodless war.”

 “I would like to believe that the Federation and Empire have learned from this experience, but I suspect they have not. But I promise you that I will continue to help those affected by such conflicts, for as long as I am able.”",https://community.elitedangerous.com/en/galnet/uid/59f30d7d7e9bd650700e051d
"Galactic News: Conflict in Colonia Ends",27 OCT 3303,"Authorities in the Colonia system have confirmed that the conflict between The Nameless and the peacekeepers of the Colonia Council has come to an end.

 Both factions received support from the galactic community, but ultimately there could only be one victor – the Colonia Council.

 Pilots who participated in the conflict can now collect their rewards from Jaques Station in the Colonia system.",https://community.elitedangerous.com/en/galnet/uid/59f1f89a6cc94804677aff60
"Galactic News: Aegis Expanding",21 OCT 3303,"Following news that the Empire and Federation have withdrawn from the Pleiades Nebula, contractors in the core systems have reported that Aegis is poised to establish a number of outposts in the region.

 The reports indicate that Aegis intends to establish more than twenty orbital outposts in the coming months, to support its ongoing research and defence initiative. Two of these outposts have already been built, and construction of a third is expected to begin soon.

 Admiral Aden Tanner, Aegis’s chief military liaison, commented briefly on the news:

 “In my view it is imperative that Aegis has a consolidated presence in the Pleiades, close to the centre of Thargoid activity. Fortunately our backers in the Alliance, Empire and Federation agree with me.”",https://community.elitedangerous.com/en/galnet/uid/59e9c5814cd0ff2fd509dce8
"Community Goal: Conflict in Colonia",20 OCT 3303,"Since it was founded in July 3302, the Colonia community has become a bastion of peace, seen by many as an island of calm in a sea of conflict.

 But the region is not impervious to occasional outbreaks of violence, and as Colonia’s population grows, such outbreaks look likely to become more frequent.

 The latest such incident involves The Nameless, a criminal faction based in the Carcosa system, which has started attacking ships in Colonia. In an effort to restore order, the Colonia Council has issued a call to aid, pledging to reward pilots who help reduce the criminals’ numbers. The Nameless has responded in kind, promising generous incentives to those who help fight the Colonia Council’s peacekeepers.

 Both factions have set out week-long operations to achieve their aims, which will begin on the 19th of October 3303.",https://community.elitedangerous.com/en/galnet/uid/59e8c96b1736147fe77fd437
"Galactic News: Further INRA Bases Discovered",19 OCT 3303,"Further abandoned Intergalactic Naval Reserve Arm outposts have been discovered in systems throughout the core.

 Records from the sites have shed additional light on the INRA’s activities, and indicate that the mycoid fungus, which was instrumental in countering the Thargoid incursions of the 3100s, was an unplanned by-product of the organisation’s research.

 The records also indicate that the INRA tested the mycoid on living Thargoid specimens – a revelation that has already prompted censure from ethical groups.

 The following text is taken directly from one of the INRA logs:

 “I know there are some who will condemn me for my part in this project. Let them. I harbour no remorse. The Thargoids understand only one thing: destruction. They will not stop until every last one of us has been reduced to dust. We have created a weapon that can prevent such a catastrophe. We have a moral obligation to use it.”

 Others employed by the organisation, including the researcher whose work led to the development of the mycoid, took a different view:

 “To the public, the INRA is a symbol of all that is possible when superpowers set aside their differences and work together. Well, it might have started off like that, but it’s something very different now. Progress at any cost, might makes right – all our worst impulses channelled into an unaccountable organisation focused solely on making bigger and more powerful weapons.”

 Response to the accounts has been mixed. Some commentators have suggested that the INRA’s actions were unethical, while others have opined that it took appropriate measures to defend humanity.

 Nestor Cartesius, an Imperial Senator, said:

 “It is true that the INRA operated covertly, but there is nothing in the organisation’s past of which we need feel ashamed, and I see no reason for its work to remain secret. The INRA achieved the objectives it was created to fulfil – very successfully, I might add. The pertinent question is if its work can be of value to us now, in the wake of the Thargoids’ return.”",https://community.elitedangerous.com/en/galnet/uid/59e723ce8d602d41747ba39c
"Galactic News: Starport Status Update",18 OCT 3303,"This report presents the latest data on starports experiencing technical issues as a result of Thargoid Sensor related interference.

 The following starports are currently closed:

 Fadlan Gateway, Scylla

 Meanwhile, the following starports are on the brink of closure:

 Ackerman Market, Eravate",https://community.elitedangerous.com/en/galnet/uid/59e6221f23c9962eb13f8412
