body,type,subType,distanceToArrival,isLandable,gravity,earthMasses,radius,surfaceTemperature,volcanismType,atmosphereType,terraformingState,orbitalPeriod,semiMajorAxis,orbitalEccentricity,orbitalInclination,argOfPeriapsis,rotationalPeriod,rotationalPeriodTidallyLocked,axialTilt
HIP 19026 B 4 a,Planet,Icy body,31797.744141,1,0.078514791352378,0.003308,1309.156375,103,Minor Carbon Dioxide Geysers,No atmosphere,Not terraformable,3.2608586516204,0.0020249633673429,0.000164,0.005078,348.725891,3.2614221643519,1,-1.377825,
HIP 19026 B 4 b,Planet,Icy body,31796.248047,1,0.065158612537641,0.001923,1095.691375,103,No volcanism,No atmosphere,Not terraformable,7.242525318287,0.0034471160156693,0.000548,-0.022015,279.401703,7.2437782118056,1,-0.423794,
HIP 19026 B 4 c,Planet,Icy body,31790.734375,1,0.067548926008409,0.002138,1134.695,102,No volcanism,No atmosphere,Not terraformable,65.094363425926,0.014901323538691,0.007161,1.336767,250.984665,65.105625,1,0.298518,
HIP 19026 B 4 d,Planet,Icy body,31807.880859,1,0.063026018112218,0.001743,1060.652875,102,No volcanism,No atmosphere,Not terraformable,104.17152777778,0.020387402907066,0.006657,1.090715,71.141602,104.18954861111,1,-0.383351,
Aries Dark Region DB-X d1-63 A,Star,K (Yellow-Orange) Star,0,,,,,4487,,,,10346583.988148,358.0063248181,0.106112,-32.714592,80.475792,2.7854752604167,,,
Aries Dark Region DB-X d1-63 A 1,Planet,High metal content world,18.729042,1,1.1373583316243,1.092277,6250.32,873,Minor Silicate Vapour Geysers,No atmosphere,Not terraformable,3.1446339699074,0.037532711326218,2.0E-6,0.009721,192.670425,3.1758608217593,1,-0.408802,
Aries Dark Region DB-X d1-63 A 2,Planet,High metal content world,32.116711,1,1.4606997254277,1.971875,7410.4355,668,Minor Metallic Magma,No atmosphere,Not terraformable,7.0611848958333,0.064359822576004,7.0E-5,-0.002714,263.639404,7.1313035300926,1,0.003425,
Aries Dark Region DB-X d1-63 A 3,Planet,High metal content world,56.318943,,3.8289102337262,14.992636,12620.772,3476,Major Silicate Vapour Geysers,Hot thick Water,Not terraformable,16.397560763889,0.11286240982573,9.0E-6,-0.000946,252.258194,16.560393518519,1,-0.809501,
Aries Dark Region DB-X d1-63 A 4,Planet,High metal content world,103.331863,,1.6430780269243,2.613894,8044.5065,1273,Metallic Magma,Hot thick Carbon dioxide,Not terraformable,40.732717013889,0.20701035093008,0.000317,0.000331,176.463348,41.137199074074,1,-0.439013,
Aries Dark Region DB-X d1-63 A 4 a,Planet,Rocky body,102.857697,1,0.064394130146224,0.000482,551.8040625,374,No volcanism,No atmosphere,Not terraformable,4.1217947048611,0.0010000007573637,0.000182,-0.002825,12.651443,-4.1224124710648,,1.900861,
Aries Dark Region DB-X d1-63 A 4 b,Planet,Rocky body,103.919891,1,0.049869819121995,0.000228,431.25390625,374,No volcanism,No atmosphere,Not terraformable,6.0221169704861,0.0012875837810972,0.004568,0.568414,20.324566,6.0230193865741,1,0.065416,
Aries Dark Region DB-X d1-63 A 5,Planet,High metal content world,141.287979,,1.4709227480698,2.022809,7479.4045,1061,Minor Metallic Magma,Hot thick Carbon dioxide,Not terraformable,65.159560185185,0.28314912019667,3.4E-5,-0.346741,63.493324,65.806608796296,1,-0.50888,
Aries Dark Region DB-X d1-63 A 6,Planet,Class II gas giant,265.665039,,1.1293493749907,16.515562,24390.294,231,No volcanism,No atmosphere,Not terraformable,168.05297453704,0.53250942834442,0.001712,0.040221,168.693558,4.1644404658565,,-2.177288,
Aries Dark Region DB-X d1-63 A 6 a,Planet,Rocky body,266.477325,1,0.051143376103439,0.000244,440.539375,234,No volcanism,No atmosphere,Not terraformable,8.1538961226852,0.0029131417844439,0.000239,0.067785,180.976685,8.1543764467593,1,0.103782,
Aries Dark Region DB-X d1-63 A 6 b,Planet,Rocky body,264.273682,1,0.065510172096586,0.000512,563.852,234,No volcanism,No atmosphere,Not terraformable,17.945895543981,0.0049290318675639,0.001781,-1.58319,34.620731,17.946953125,1,-0.258947,
Aries Dark Region DB-X d1-63 A 7,Planet,Gas giant with water-based life,1664.852539,,5.1141027312061,729.473572,76173.616,207,No volcanism,No atmosphere,Not terraformable,2635.2646296296,3.3361534027235,6.1E-5,1.039821,14.876565,1.4858336950231,,-0.200572,
Aries Dark Region DB-X d1-63 A 7 a,Planet,Rocky body,1663.996216,1,0.13116089900672,0.003976,1110.466625,124,Minor Silicate Vapour Geysers,No atmosphere,Not terraformable,1.3929100658333,0.0031702782785664,6.3E-5,0.209313,172.395157,1.3929522931134,1,-0.402794,
Aries Dark Region DB-X d1-63 A 7 b,Planet,Rocky body,1663.021973,1,0.089663546244165,0.001296,766.794625,115,No volcanism,No atmosphere,Not terraformable,4.2853327546296,0.0067061258245569,0.000436,-0.051625,58.728683,4.285462962963,1,-0.475738,
Aries Dark Region DB-X d1-63 A 7 c,Planet,Rocky body,1660.689575,1,0.093427639845788,0.001465,798.6668125,113,No volcanism,No atmosphere,Not terraformable,6.4245261863426,0.0087843449231661,0.000213,0.004597,220.074036,6.4247214988426,1,0.071373,
Aries Dark Region DB-X d1-63 A 7 d,Planet,Rocky body,1666.084839,1,0.09472920416481,0.001526,809.5055625,110,No volcanism,No atmosphere,Not terraformable,12.097255497685,0.013394912364886,0.000359,-0.059735,154.508026,12.097622974537,1,-0.252978,
Aries Dark Region DB-X d1-63 A 7 e,Planet,Icy body,1674.83728,1,0.15669305939664,0.022082,2394.3015,94,No volcanism,No atmosphere,Not terraformable,24.814140625,0.021624605543266,0.014404,0.028636,316.894012,-24.814892939815,,-2.982978,
Aries Dark Region DB-X d1-63 A 8,Star,Y (Brown dwarf) Star,2289.452148,,,,,287,,,,4486.2207407407,4.7564567994884,0.035883,-0.065646,53.876915,1.0435828993056,,1.994991,
Aries Dark Region DB-X d1-63 A 8 a,Planet,Rocky body,2290.40332,1,0.095175384704717,0.001546,812.8809375,81,No volcanism,No atmosphere,Not terraformable,3.1591713686343,0.0095452319028228,0.000299,0.014297,282.392517,3.1591999421296,1,-0.460837,
Aries Dark Region DB-X d1-63 A 8 b,Planet,Rocky body,2283.706299,1,0.099039967007274,0.00174,845.38375,81,No volcanism,No atmosphere,Not terraformable,5.0997522424769,0.01313521155619,0.000295,0.008215,283.237976,5.0997985387731,1,0.031226,
Aries Dark Region DB-X d1-63 A 8 c,Planet,Rocky body,2296.834473,1,0.10147810372618,0.001868,865.34,81,Metallic Magma,No atmosphere,Not terraformable,0.65522691515046,1.2856304311021E-5,0.188585,-5.942657,298.741089,1.5333271846065,,0.432975,
Aries Dark Region DB-X d1-63 A 8 d,Planet,Rocky body,2296.820068,1,0.089769073759691,0.001302,768.1156875,81,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.65522691515046,1.843472929859E-5,0.188585,-5.942657,118.741081,0.42682829680556,,0.141112,
Aries Dark Region DB-X d1-63 A 8 e,Planet,Rocky body,2282.054688,1,0.17290272523735,0.00888,1445.40675,81,No volcanism,No atmosphere,Not terraformable,14.921882233796,0.026871179470605,0.000206,0.017725,224.612045,-14.922016782407,,-2.603095,
Aries Dark Region DB-X d1-63 A 8 e a,Planet,Rocky body,2282.085205,1,0.056462532296106,0.000358,507.86215625,81,Minor Metallic Magma,No atmosphere,Not terraformable,1.2371132631713,6.8275630877679E-5,,56.969582,297.447906,1.2618126085069,1,0.289353,
Aries Dark Region DB-X d1-63 A 8 f,Planet,Rocky body,2309.071045,1,0.12187315546745,0.003205,1034.2951875,81,No volcanism,No atmosphere,Not terraformable,34.140289351852,0.046656896808358,0.005832,0.707292,69.812439,34.140598958333,1,0.103766,
Aries Dark Region DB-X d1-63 A 8 g,Planet,Rocky body,2315.550293,1,0.17479239504228,0.009196,1462.92725,81,No volcanism,No atmosphere,Not terraformable,50.707974537037,0.06073726149633,0.000812,0.003865,229.783417,50.708431712963,1,0.454016,
Aries Dark Region DB-X d1-63 A 8 h,Planet,Rocky body,2296.424805,1,0.18810717621968,0.011381,1568.816125,81,No volcanism,No atmosphere,Not terraformable,80.648790509259,0.082756655118621,0.001695,-2.076497,190.877991,6.8463310185185,,0.022597,
Aries Dark Region DB-X d1-63 B,Star,M (Red dwarf) Star,433504.6875,,,,,3395,,,,10346583.988148,610.37115130821,0.106112,-32.714592,260.4758,2.2424565972222,,,
Aries Dark Region DB-X d1-63 B 1,Planet,Metal-rich body,433498.625,1,0.59978711650227,0.062854,2064.678375,1050,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.78549895109954,0.01246117843307,2.0E-6,0.003295,188.339798,0.78951235171296,1,0.479834,
Aries Dark Region DB-X d1-63 B 2,Planet,High metal content world,433498.03125,1,0.59518222877883,0.204004,3734.03925,796,Major Rocky Magma,No atmosphere,Not terraformable,1.8109351490162,0.021746896909543,4.3E-5,-0.001228,16.713713,1.8201877170139,1,0.108941,
Aries Dark Region DB-X d1-63 B 3,Planet,High metal content world,433501.09375,1,0.75355769310866,0.382112,4541.733,608,No volcanism,No atmosphere,Not terraformable,4.0814431423611,0.037382747266603,4.7E-5,0.015039,37.138298,4.1022967303241,1,-0.459257,
Aries Dark Region DB-X d1-63 B 4,Planet,High metal content world,433536.03125,1,0.76530504664183,0.397911,4598.966,467,No volcanism,No atmosphere,Not terraformable,9.102611400463,0.06381253606974,1.0E-6,0.001366,3.419534,9.1491196469907,1,-0.18822,
Aries Dark Region DB-X d1-63 B 5,Planet,High metal content world,433504.8125,,1.073824231121,0.941603,5972.4405,1083,Major Rocky Magma,Hot thick Carbon dioxide,Not terraformable,20.852054398148,0.11089056571712,9.0E-5,0.0104,184.417587,20.958592303241,1,0.640437,
Aries Dark Region DB-X d1-63 B 6,Planet,High metal content world,433579.3125,,1.9965997307303,4.050756,9084.626,984,Major Silicate Vapour Geysers,Hot thick Carbon dioxide,Candidate for terraforming,45.524809027778,0.18662112553718,3.8E-5,0.002261,121.351219,45.757407407407,1,0.191837,
Aries Dark Region DB-X d1-63 B 7,Planet,Class I gas giant,432983.03125,,2.2138284114618,270.442841,70493.696,118,No volcanism,No atmosphere,Not terraformable,92.87291087963,0.00050878868558655,0.056441,2.445653,0.949676,1.5674987340856,,0.093694,
Aries Dark Region DB-X d1-63 B 7 a,Planet,Icy body,432508.96875,1,0.094431850412114,0.005888,1592.609,87,Major Water Geysers,No atmosphere,Not terraformable,1.1393128797801,0.0019918852494737,3.0E-6,0.556417,62.382069,1.0488104021991,1,0.202583,
Aries Dark Region DB-X d1-63 B 7 b,Planet,Icy body,432507.1875,1,0.065603585708394,0.002038,1124.14625,85,Major Water Geysers,No atmosphere,Not terraformable,1.788478551794,0.0026904494169381,0.004978,-0.040174,194.763229,1.68482421875,1,0.333387,
Aries Dark Region DB-X d1-63 B 8,Planet,Class I gas giant,432517.28125,,0.46850878815089,3.707827,17942.6,88,No volcanism,No atmosphere,Not terraformable,92.87291087963,0.037109559207115,0.056441,2.445653,180.949677,93.507418981481,1,0.021274,
Aries Dark Region DB-X d1-63 B 9,Planet,Gas giant with ammonia-based life,434564.9375,,2.8156386732698,377.205322,73821.856,126,No volcanism,No atmosphere,Not terraformable,2280.8127777778,2.5362291393095,0.003526,-2.218112,304.867615,0.73665084274306,,-0.364523,
Aries Dark Region DB-X d1-63 B 9 a,Planet,Icy body,434565.90625,1,0.097460464343541,0.00629,1620.300625,83,Major Water Geysers,No atmosphere,Not terraformable,1.0474561451157,0.0021042742288176,2.1E-5,-4.3E-5,135.751297,1.0475134729514,1,-0.381794,
Aries Dark Region DB-X d1-63 B 9 b,Planet,Icy body,433782.15625,1,0.087395890140382,0.004571,1458.62825,79,Carbon Dioxide Geysers,No atmosphere,Not terraformable,2.9013460286458,0.0041502870936251,0.000142,0.000647,201.690125,2.9015044487847,1,0.272812,
Aries Dark Region DB-X d1-63 B 9 c,Planet,Icy body,433784.875,1,0.073472483167342,0.002745,1232.802,78,No volcanism,No atmosphere,Not terraformable,4.3035698784722,0.0053979767240096,0.000131,0.230792,91.340836,4.3038049768519,1,-0.262828,
Aries Dark Region DB-X d1-63 B 9 d,Planet,Icy body,433786.03125,1,0.079195560248529,0.003423,1325.98175,76,No volcanism,No atmosphere,Not terraformable,7.3949030671296,0.0077440255170691,0.000225,0.458928,93.650597,7.3953074363426,1,-0.148129,
Aries Dark Region DB-X d1-63 B 9 e,Planet,Icy body,433777.8125,1,0.12139749130478,0.011836,1991.508375,73,No volcanism,No atmosphere,Not terraformable,39.640949074074,0.023719624025371,0.000318,-0.003496,176.810074,39.643110532407,1,0.882886,
Aries Dark Region DB-X d1-63 B 9 e a,Planet,Icy body,433777.75,1,0.041884343776543,0.000603,765.274625,73,Minor Carbon Dioxide Geysers,No atmosphere,Not terraformable,3.1770373987269,0.00014138790813685,,53.93523,235.415924,3.2569368489583,1,-0.465687,
Aries Dark Region DB-X d1-63 B 9 f,Planet,Icy body,433794.40625,1,0.085421342343602,0.004275,1426.820625,72,No volcanism,No atmosphere,Not terraformable,73.945173611111,0.03594332913189,0.00296,1.870365,69.27578,73.949212962963,1,0.245434,
Aries Dark Region DB-X d1-63 B 10,Planet,Gas giant with ammonia-based life,431786.53125,,3.8857726975142,551.544617,75986.448,146,No volcanism,No atmosphere,Not terraformable,3702.1848148148,3.5029516869721,0.001664,-1.995419,68.154762,1.2794671404861,,-0.750178,
Aries Dark Region DB-X d1-63 B 10 a,Planet,Icy body,431791.4375,,0.063490688599063,0.001785,1069.42075,111,No volcanism,Methane,Not terraformable,9.9301634837963,0.010698129595771,0.00134,-0.100644,49.553047,9.9303935185185,1,0.522147,
Aries Dark Region DB-X d1-63 B 10 b,Planet,Icy body,431821.125,,0.073745581387141,0.002766,1235.215125,112,No volcanism,Methane,Not terraformable,16.586072048611,0.015060266549636,0.000195,0.234311,91.148407,-16.586455439815,,1.771607,
Aries Dark Region DB-X d1-63 B 10 c,Planet,Icy body,431830.28125,,0.0739979107713,0.002785,1237.33525,111,No volcanism,Methane,Not terraformable,24.028447627315,0.019282091773784,0.005257,0.166915,247.740875,-24.02900318287,,-2.541223,
Aries Dark Region DB-X d1-63 B 10 d,Planet,Icy body,431777.5,,0.065767790370927,0.00198,1106.6505,107,No volcanism,Methane,Not terraformable,34.617502893519,0.02459616783837,0.005329,-0.008199,31.738281,34.618307291667,1,-0.170728,
Aries Dark Region DB-X d1-63 B 10 e,Planet,Icy body,431801.71875,,0.10505316871447,0.00783,1741.24875,115,No volcanism,Methane,Not terraformable,87.666030092593,0.04569736571792,0.002088,-0.407166,252.754868,1.482162181713,,0.480728,
Aries Dark Region DB-X d1-63 B 11,Planet,Class I gas giant,430494.625,,1.7933756730652,164.501221,61084.84,68,No volcanism,No atmosphere,Not terraformable,8904.1459259259,6.2881591824689,0.000623,-0.033754,13.046641,2.2518352141204,,2.898193,
Aries Dark Region DB-X d1-63 B 11 a,Planet,Icy body,430548.1875,1,0.084893158987005,0.004197,1418.13525,49,Major Water Magma,No atmosphere,Not terraformable,3.674603587963,0.0036842419575963,7.0E-6,-0.003915,191.185776,3.674790943287,1,0.134664,
Aries Dark Region DB-X d1-63 B 11 b,Planet,Icy body,430545.03125,1,0.055640124825958,0.001209,940.164,47,No volcanism,No atmosphere,Not terraformable,16.36798900463,0.0099740457067883,0.000102,-0.014472,282.111572,16.368823784722,1,0.241119,
Aries Dark Region DB-X d1-63 B 11 c,Planet,Icy body,430554.0625,1,0.054295667649677,0.001123,917.258625,47,No volcanism,No atmosphere,Not terraformable,28.437080439815,0.014414442598079,0.008484,-0.041984,140.086227,28.438530092593,1,0.044971,
Aries Dark Region DB-X d1-63 B 11 d,Planet,Icy body,430558.25,1,0.08136825476735,0.00366,1352.68775,47,No volcanism,No atmosphere,Not terraformable,40.169699074074,0.018147085244576,0.000654,-0.343037,201.593811,40.171744791667,1,-0.004441,
Aries Dark Region DB-X d1-63 B 11 d a,Planet,Icy body,430558.25,1,0.03341100503499,0.000308,612.3716875,47,Major Water Geysers,No atmosphere,Not terraformable,1.6792238136574,6.3153853432487E-5,,80.577034,103.752579,1.7484358723958,1,0.229672,
Aries Dark Region DB-X d1-63 B 11 e,Planet,Icy body,430561.4375,1,0.072973001851175,0.002691,1224.786125,47,No volcanism,No atmosphere,Not terraformable,61.514959490741,0.024109875569238,0.014612,2.759016,86.593414,61.518101851852,1,-0.386755,
Aries Dark Region DB-X d1-63 B 12,Planet,Icy body,429049.8125,,2.1659395929098,13.667244,16021.45,41,Water Geysers,Helium,Not terraformable,14645.09037037,8.7617341816617,0.033869,0.206226,299.857361,1.1610895001505,,-0.255157,
Pleiades Sector OS-U c2-7,Star,K (Yellow-Orange) Star,0,,,,,4873,,,,,,,,,2.6006038411458,,,
Pleiades Sector OS-U c2-7 1,Planet,High metal content world,8.709557,,2.0816655232312,4.433968,9308.406,1591,Major Silicate Vapour Geysers,Hot thick Sulphur dioxide,Not terraformable,1.0202143012153,0.017453835591258,1.0E-6,-0.0051,122.745148,1.0334393988773,1,0.278709,
Pleiades Sector OS-U c2-7 2,Planet,High metal content world,14.971232,,1.9864594592994,4.002429,9053.291,2633,Major Silicate Vapour Geysers,Hot thick Carbon dioxide-rich,Not terraformable,2.2992008463542,0.030001837078287,1.2E-5,0.007485,124.095718,2.3290049913194,1,-0.166322,
Pleiades Sector OS-U c2-7 3,Planet,Gas giant with ammonia-based life,1021.650391,,1.2318890597598,16.736954,23509.15,129,No volcanism,No atmosphere,Not terraformable,1296.250462963,2.0474935960435,9.6E-5,-1.760709,354.413971,0.8163599537037,,-0.062647,
Pleiades Sector OS-U c2-7 4,Star,Y (Brown dwarf) Star,1706.925659,,,,,277,,,,2800.6188888889,3.4218893789643,0.000421,3.532897,225.940689,1.3401265010185,,0.777513,
Pleiades Sector OS-U c2-7 4 a,Planet,Rocky body,1702.740723,1,0.15265269111498,0.006181,1283.398875,101,No volcanism,No atmosphere,Not terraformable,5.261166087963,0.013480030153932,0.001433,-0.064961,255.80484,5.2611892361111,1,-0.261799,
Pleiades Sector OS-U c2-7 4 a a,Planet,Rocky body,1702.737915,1,0.043742394478486,0.000168,395.2645625,101,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.24883029513889,2.0684392000507E-5,,0.416614,110.159058,0.2521964518287,1,-0.515443,
Pleiades Sector OS-U c2-7 4 b,Planet,Rocky body,1700.817383,1,0.12548427684464,0.00349,1063.659375,101,No volcanism,No atmosphere,Not terraformable,8.0474442997685,0.017895404229173,0.003256,-0.089896,119.565346,8.0474797453704,1,0.099463,
Pleiades Sector OS-U c2-7 4 c,Planet,Rocky body,1696.070068,1,0.12093711847708,0.003131,1026.233625,101,No volcanism,No atmosphere,Not terraformable,13.336676793981,0.025061166970206,0.002079,-0.017005,335.28183,13.336736111111,1,0.407335,
Pleiades Sector OS-U c2-7 4 d,Planet,Rocky body,1718.715088,1,0.11819960613245,0.002928,1003.8343125,101,No volcanism,No atmosphere,Not terraformable,33.400353009259,0.046217190015125,0.005603,0.400314,67.113739,33.400491898148,1,-0.136273,
Pleiades Sector OS-U c2-7 4 e,Planet,Rocky body,1734.809082,1,0.12156961905516,0.00318,1031.53875,101,No volcanism,No atmosphere,Not terraformable,54.74119212963,0.064245942024628,0.000872,-3.901194,160.138199,54.741435185185,1,0.263214,
Pleiades Sector OS-U c2-7 5,Planet,Class III gas giant,2544.394043,,12.931117572564,1755.394897,74311.136,422,No volcanism,No atmosphere,Not terraformable,826.66814814815,0.0040164015516298,0.117812,5.174429,208.170349,1.0749762189005,,-1.05408,
