name,updateTime,type,subType,distanceToArrival,isLandable,gravity,earthMasses,radius,surfaceTemperature,volcanismType,orbitalEccentricity,orbitalInclination,argOfPeriapsis,rotationalPeriod,rotationalPeriodTidallyLocked,axialTilt,orbitalPeriod,semiMajorAxis,SolidComp-Ice,SolidComp-Rock,SolidComp-Metal,isMainStar,isScoopable,age,luminosity,surfaceTemperature,Antimony,Arsenic,Boron,Cadmium,Carbon,Chromium,Germanium,Iron,Lead,Manganese,Mercury,Molybdenum,Nickel,Niobium,Phosphorus,Polonium,Rhenium,Ruthenium,Selenium,Sulphur,Technetium,Tellurium,Tin,Tungsten,Vanadium,Yttrium,Zinc,Zirconium,hasRings,
HIP 19026 B 1 c,2018-06-13 21:19:54,Planet,Rocky body,30484.009766,1,0.12357169891262,0.003337,1048.1009375,169,No volcanism,1.1E-5,-4.178119,105.292633,36.443362268519,1,-0.172956,36.442609953704,0.023241044379384,0,91.1175,8.8825,,,,,169,1.27133,2.68854,,1.6032,17.0211,,,20.6453,,,,,15.6153,,10.8972,,,,3.16799,20.2416,,,1.23777,,,,5.61062,,,
HIP 19026 B 2,2018-06-10 06:26:20,Planet,Class III gas giant,30068.441406,,7.0137377682692,1026.907959,77174.8,311,No volcanism,0.001463,-2.0502,126.718399,1.8678522858796,,0.899791,1037.7353703704,1.6175879639175,,,,,,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
HIP 19026 B 2 a,2018-06-10 06:29:46,Planet,Rocky body,30065.792969,1,0.1047034154812,0.002035,889.1730625,170,No volcanism,0.00095,-0.257052,49.535999,-3.952900390625,,1.638029,3.9528468605324,0.0071218220086604,0,90.6407,9.3593,,,,,170,,,,,15.3081,8.42959,,18.7435,,7.74089,,1.22394,14.1768,1.28102,9.80048,0.488468,,,,18.2045,,,,,4.60276,,,,,
HIP 19026 B 2 b,2018-06-10 06:30:32,Planet,Rocky body,30071.857422,1,0.09497199926477,0.001536,811.1148125,167,No volcanism,0.00028,-0.024837,315.636597,5.6026385271991,1,-0.317273,5.602562572338,0.0089861899351219,0,91.1175,8.8825,,,,,167,,,,,15.5442,8.47924,,18.8539,,7.78648,,,14.2603,1.28857,9.95166,,,,2.8931,18.4853,,1.42195,,1.03527,,,,,,
HIP 19026 B 2 c,2018-06-10 06:31:21,Planet,Rocky body,30066.101563,1,0.096717451778938,0.001621,825.7025,164,No volcanism,9.6E-5,-0.111066,65.636513,8.4568192997685,1,0.233452,8.4567042824074,0.011824566163427,0,91.1175,8.8825,,,,,164,,,,,16.0605,8.76085,,19.4801,,,,1.27204,14.7339,1.33136,10.2822,,,,2.98919,19.0992,0.696725,,,,,,5.29396,,,
HIP 19026 B 2 d,2018-06-10 06:32:29,Planet,Rocky body,30068.324219,1,0.084923785735491,0.001105,727.530125,160,No volcanism,5.5E-5,-0.742679,151.744675,14.164639756944,1,0.054008,14.164447337963,0.01667698603146,0,91.1175,8.8825,,,,,160,,,,1.48663,15.7835,,5.57463,19.1441,,7.90633,,,14.4798,,10.1048,0.496444,,,,18.7698,,,,1.05121,,,5.20266,,,
HIP 19026 B 2 e,2018-06-10 06:28:06,Planet,Rocky body,30061.382813,1,0.11904468773893,0.00299,1010.7996875,158,No volcanism,0.000198,-0.766237,148.165283,20.93205150463,1,-0.08085,20.931769386574,0.0216365689221,0,91.1175,8.8825,,,,,158,,,,1.5206,16.1442,,,19.5817,,8.08702,,,14.8107,1.3383,10.3358,,,,3.00477,19.1988,,,,,4.80857,1.16959,,,,
HIP 19026 B 2 f,2018-06-10 06:28:54,Planet,Rocky body,30078.925781,,0.13053573914889,0.00392,1105.255875,156,No volcanism,0.001644,-0.106963,155.707474,31.353940972222,1,-0.475486,31.353515625,0.02832535203992,0,91.1175,8.8825,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 19026 B 3,2018-06-10 06:38:28,Planet,Gas giant with ammonia-based life,31654.671875,,1.0650819202404,74.763832,53436.596,132,No volcanism,0.001073,0.095282,322.249725,1.4140202727199,,1.304708,1483.1981481481,2.0524673498311,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 19026 B 3 a,2018-06-10 06:41:30,Planet,Icy body,31654.607422,1,0.071677969635409,0.002525,1197.07775,115,Major Water Geysers,1.2E-5,4.8E-5,59.477341,-1.785306712963,,2.530293,1.7851676432292,0.0017505549696303,81.802,16.5566,1.6414,,,,,115,,,,0.958968,22.8619,,3.58615,12.3492,,,0.539267,,9.34039,,14.6366,,,,4.25509,27.1876,,0.928819,,,,,3.35604,,,
HIP 19026 B 3 b,2018-06-10 06:40:11,Planet,Icy body,31652.380859,1,0.074322287819642,0.002833,1245.22625,114,No volcanism,0.187498,8.293421,298.705536,20.403059895833,,0.14909,6.4761928530093,3.428111293298E-5,82.4231,16.0157,1.5613,,,,,114,,,,,22.4748,5.3917,,11.9887,,4.95119,,0.782853,9.06772,,14.3887,0.310889,,,,26.7271,,,,0.658298,,,3.25807,,,
HIP 19026 B 3 c,2018-06-10 06:40:53,Planet,Icy body,31652.353516,1,0.04903836503115,0.00083,829.765875,114,No volcanism,0.187498,8.293421,118.705544,7.3644936342593,1,-0.169095,6.4761928530093,0.00011694381690153,82.4231,16.0157,1.5613,,,,,114,,,,,22.6429,,,12.0784,,4.98824,,,9.13557,0.825492,14.4964,,,0.745916,4.21432,26.9271,,,,0.663224,,,3.28245,,,
HIP 19026 B 3 d,2018-06-10 06:39:24,Planet,Icy body,31652.970703,1,0.065530645878945,0.001943,1098.243625,114,No volcanism,0.16308,8.435155,348.687775,-21.776906828704,,-2.40715,13.406404803241,8.832408468231E-5,82.0065,16.3787,1.6148,,,,,114,,,,,22.3734,5.41292,,12.0358,,4.97068,0.525586,0.785934,9.10341,,14.3239,,,,,26.6067,,0.906072,,,2.95559,,,,,
HIP 19026 B 3 e,2018-06-10 06:39:47,Planet,Icy body,31653.007813,1,0.055344233265946,0.001186,933.664125,114,No volcanism,0.16308,8.435155,168.687775,17.012359664352,1,-0.107709,13.406404803241,0.00014472457327563,82.4231,16.0157,1.5613,,,,,114,,,,,22.4144,5.37721,3.48163,11.9564,,4.93789,,,9.04335,0.817159,14.3501,0.310053,,,,26.6553,,,,0.656529,,,,,,
HIP 19026 B 4,2018-06-10 06:33:18,Planet,Gas giant with ammonia-based life,30952.796875,,1.1104068883212,34.675873,35641.596,116,No volcanism,0.001548,0.1029,22.106594,0.64139707211806,,-0.255801,2319.3661111111,2.7651777704079,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
HIP 19026 B 4 a,2018-06-10 06:35:28,Planet,Icy body,30952.496094,1,0.078514791352378,0.003308,1309.156375,103,Minor Carbon Dioxide Geysers,0.000164,0.005078,348.725891,3.2614221643519,1,-1.377825,3.2608586516204,0.0020249633673429,81.9376,16.4386,1.6238,,,,,103,,,,0.9546,22.8194,5.52853,,12.2929,,5.07684,0.536811,,9.29784,,14.6094,0.319147,,,,27.137,,,,,,,,1.42746,,
HIP 19026 B 4 b,2018-06-10 06:35:02,Planet,Icy body,30951.138672,1,0.065158612537641,0.001923,1095.691375,103,No volcanism,0.000548,-0.022015,279.401703,7.2437782118056,1,-0.423794,7.242525318287,0.0034471160156693,82.4231,16.0157,1.5613,,,,,103,,1.58268,,,22.7836,5.4658,,12.1534,,5.01924,,,9.19234,,14.5865,,,,,27.0945,,,0.728646,0.667345,,0.72591,,,,
HIP 19026 B 4 c,2018-06-10 06:34:32,Planet,Icy body,30951.384766,1,0.067548926008409,0.002138,1134.695,102,No volcanism,0.007161,1.336767,250.984665,65.105625,1,0.298518,65.094363425926,0.014901323538691,82.4231,16.0157,1.5613,,,,,102,,,,0.943456,22.7761,,3.53782,12.1494,,5.01758,,,9.1893,,14.5817,,,0.750303,,27.0855,,,,0.667124,,,3.30175,,,
HIP 19026 B 4 d,2018-06-10 06:36:16,Planet,Icy body,30946.908203,1,0.063026018112218,0.001743,1060.652875,102,No volcanism,0.006657,1.090715,71.141602,104.18954861111,1,-0.383351,104.17152777778,0.020387402907066,82.4231,16.0157,1.5613,,,,,102,,,,,22.5147,5.40129,,12.01,,,,0.784245,9.08385,0.820819,14.4143,,,0.741694,4.19047,26.7747,,,,,,,3.26387,,,
Aries Dark Region DB-X d1-63 A,2018-03-29 03:48:30,Star,K (Yellow-Orange) Star,0,,,,,4487,,0.106112,-32.714592,80.475792,2.7854752604167,,,10346583.988148,358.0063248181,,,,1,1,486,Va,4487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aries Dark Region DB-X d1-63 A 1,2018-06-05 10:03:52,Planet,High metal content world,18.729042,1,1.1373583316243,1.092277,6250.32,873,Minor Silicate Vapour Geysers,2.0E-6,0.009721,192.670425,3.1758608217593,1,-0.408802,3.1446339699074,0.037532711326218,0.1207,67.1543,32.725,,,,,873,,,,,13.7192,,4.79912,22.8607,,,,,17.2908,1.5624,8.78328,,,,,16.315,,,1.47757,,5.61378,1.36544,6.21267,,,
Aries Dark Region DB-X d1-63 A 2,2018-06-05 10:04:10,Planet,High metal content world,32.116711,1,1.4606997254277,1.971875,7410.4355,668,Minor Metallic Magma,7.0E-5,-0.002714,263.639404,7.1313035300926,1,0.003425,7.0611848958333,0.064359822576004,0.1085,66.344,33.5475,,,,,668,,,,1.6354,12.5309,9.47133,,21.0599,,8.69752,,,15.9288,1.43933,8.02248,0.589274,,,,14.9018,,,,,,,5.72329,,,
Aries Dark Region DB-X d1-63 A 3,2018-06-05 10:04:28,Planet,High metal content world,56.318943,,3.8289102337262,14.992636,12620.772,3476,Major Silicate Vapour Geysers,9.0E-6,-0.000946,252.258194,16.560393518519,1,-0.809501,16.397560763889,0.11286240982573,0.1458,65.9839,33.8702,,,,,3476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aries Dark Region DB-X d1-63 A 4,2018-06-05 10:05:09,Planet,High metal content world,103.331863,,1.6430780269243,2.613894,8044.5065,1273,Metallic Magma,0.000317,0.000331,176.463348,41.137199074074,1,-0.439013,40.732717013889,0.20701035093008,0,67.2,32.8,,,,,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Aries Dark Region DB-X d1-63 A 4 a,2018-06-05 10:06:44,Planet,Rocky body,102.857697,1,0.064394130146224,0.000482,551.8040625,374,No volcanism,0.000182,-0.002825,12.651443,-4.1224124710648,,1.900861,4.1217947048611,0.0010000007573637,0,90.68,9.3199,,,,,374,,,,,16.7501,,,20.4895,,,0.894742,,15.4974,,10.7237,,,,,19.9193,,1.52098,1.22527,,5.0315,,5.56827,2.37925,,
Aries Dark Region DB-X d1-63 A 4 b,2018-06-05 10:07:12,Planet,Rocky body,103.919891,1,0.049869819121995,0.000228,431.25390625,374,No volcanism,0.004568,0.568414,20.324566,6.0230193865741,1,0.065416,6.0221169704861,0.0012875837810972,0,91.1193,8.8807,,,,,374,,,,1.46617,15.5698,8.49125,5.45865,18.8806,,,0.824486,,14.2805,,9.96803,,,,,18.5157,,1.4138,,,,,5.13105,,,
Aries Dark Region DB-X d1-63 A 5,2018-06-05 10:08:06,Planet,High metal content world,141.287979,,1.4709227480698,2.022809,7479.4045,1061,Minor Metallic Magma,3.4E-5,-0.346741,63.493324,65.806608796296,1,-0.50888,65.159560185185,0.28314912019667,0,67.2355,32.7646,,,,,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aries Dark Region DB-X d1-63 A 6,2018-06-05 10:08:41,Planet,Class II gas giant,265.665039,,1.1293493749907,16.515562,24390.294,231,No volcanism,0.001712,0.040221,168.693558,4.1644404658565,,-2.177288,168.05297453704,0.53250942834442,,,,,,,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Aries Dark Region DB-X d1-63 A 6 a,2018-06-05 10:10:12,Planet,Rocky body,266.477325,1,0.051143376103439,0.000244,440.539375,234,No volcanism,0.000239,0.067785,180.976685,8.1543764467593,1,0.103782,8.1538961226852,0.0029131417844439,0,91.1061,8.8939,,,,,234,,,,,16.1362,,,19.5727,,8.08332,,1.27808,14.804,,10.3307,,,1.20874,3.00328,19.1892,,,,1.07474,,,5.31912,,,
Aries Dark Region DB-X d1-63 A 6 b,2018-06-05 10:09:41,Planet,Rocky body,264.273682,1,0.065510172096586,0.000512,563.852,234,No volcanism,0.001781,-1.58319,34.620731,17.946953125,1,-0.258947,17.945895543981,0.0049290318675639,0,91.1061,8.8939,,,,,234,,,,1.50212,15.9473,8.69946,,19.3436,,,,,14.6307,1.32203,10.2097,,,,2.96813,18.9647,,,,,,1.15537,5.25687,,,
Aries Dark Region DB-X d1-63 A 7,2018-06-09 21:04:56,Planet,Gas giant with water-based life,1664.852539,,5.1141027312061,729.473572,76173.616,207,No volcanism,6.1E-5,1.039821,14.876565,1.4858336950231,,-0.200572,2635.2646296296,3.3361534027235,,,,,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aries Dark Region DB-X d1-63 A 7 a,2018-06-09 21:06:05,Planet,Rocky body,1663.996216,1,0.13116089900672,0.003976,1110.466625,124,Minor Silicate Vapour Geysers,6.3E-5,0.209313,172.395157,1.3929522931134,1,-0.402794,1.3929100658333,0.0031702782785664,0,91.1193,8.8807,,,,,124,,,,,15.6516,8.53586,,18.9798,,7.83848,0.828818,,14.3556,,10.0204,,,,2.91309,18.613,,,1.12981,,,1.13364,,,,
Aries Dark Region DB-X d1-63 A 7 b,2018-06-05 10:20:01,Planet,Rocky body,1663.021973,1,0.089663546244165,0.001296,766.794625,115,No volcanism,0.000436,-0.051625,58.728683,4.285462962963,1,-0.475738,4.2853327546296,0.0067061258245569,0,91.1193,8.8807,,,,,115,,,,1.53097,16.2579,,,19.7151,,8.14213,,,14.9117,1.34742,10.4086,,,,,19.334,0.705129,,,,,,5.35782,2.28933,,
Aries Dark Region DB-X d1-63 A 7 c,2018-06-05 10:13:29,Planet,Rocky body,1660.689575,1,0.093427639845788,0.001465,798.6668125,113,No volcanism,0.000213,0.004597,220.074036,6.4247214988426,1,0.071373,6.4245261863426,0.0087843449231661,0,91.1193,8.8807,,,,,113,,2.69023,,,17.1582,,6.01554,20.8068,,,,1.35867,15.7374,,10.985,,,1.28495,,20.4046,,,,1.1425,,,,2.4161,,
Aries Dark Region DB-X d1-63 A 7 d,2018-06-05 10:20:58,Planet,Rocky body,1666.084839,1,0.09472920416481,0.001526,809.5055625,110,No volcanism,0.000359,-0.059735,154.508026,12.097622974537,1,-0.252978,12.097255497685,0.013394912364886,0,91.1193,8.8807,,,,,110,,,,,16.1549,,5.66379,19.5902,,8.09054,,1.27923,14.8172,1.33888,10.3426,0.504392,,,3.00676,19.2115,,,,,,,,,,
Aries Dark Region DB-X d1-63 A 7 e,2018-06-05 10:21:30,Planet,Icy body,1674.83728,1,0.15669305939664,0.022082,2394.3015,94,No volcanism,0.014404,0.028636,316.894012,-24.814892939815,,-2.982978,24.814140625,0.021624605543266,73.9136,23.7274,2.359,,,,,94,,,,1.03559,22.1179,5.99757,,13.3358,,,,,10.0867,,14.1603,,,,,26.3028,,0.995369,0.795217,,,,3.62418,1.54857,,
Aries Dark Region DB-X d1-63 A 8,2018-05-01 06:52:18,Star,Y (Brown dwarf) Star,2289.452148,,,,,287,,0.035883,-0.065646,53.876915,1.0435828993056,,1.994991,4486.2207407407,4.7564567994884,,,,,,486,V,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Aries Dark Region DB-X d1-63 A 8 a,2018-04-02 07:56:57,Planet,Rocky body,2290.40332,1,0.095175384704717,0.001546,812.8809375,81,No volcanism,0.000299,0.014297,282.392517,3.1591999421296,1,-0.460837,3.1591713686343,0.0095452319028228,0,91.111,8.889,,,,,81,,,,1.48146,15.7295,,5.51466,19.0775,,7.87883,,1.24575,14.4294,,10.0703,,,,,18.7056,0.682326,,,,,,5.18456,,,
Aries Dark Region DB-X d1-63 A 8 b,2018-04-02 07:59:04,Planet,Rocky body,2283.706299,1,0.099039967007274,0.00174,845.38375,81,No volcanism,0.000295,0.008215,283.237976,5.0997985387731,1,0.031226,5.0997522424769,0.01313521155619,0,91.111,8.889,,,,,81,,,,1.43257,15.2105,8.29669,,18.448,,7.61885,,,13.9533,,9.73801,,,,,18.0884,,,1.09825,,,1.10188,5.01349,,,
Aries Dark Region DB-X d1-63 A 8 c,2018-04-02 07:57:30,Planet,Rocky body,2296.834473,1,0.10147810372618,0.001868,865.34,81,Metallic Magma,0.188585,-5.942657,298.741089,1.5333271846065,,0.432975,0.65522691515046,1.2856304311021E-5,0,91.111,8.889,,,,,81,,,,1.4444,15.3361,8.3652,,18.6004,,7.68176,,1.21459,14.0685,,9.81842,,,,,18.2378,0.66526,,,,4.5676,,,,,
Aries Dark Region DB-X d1-63 A 8 d,2018-04-02 07:57:53,Planet,Rocky body,2296.820068,1,0.089769073759691,0.001302,768.1156875,81,Major Silicate Vapour Geysers,0.188585,-5.942657,118.741081,0.42682829680556,,0.141112,0.65522691515046,1.843472929859E-5,0,91.111,8.889,,,,,81,,,,,16.6818,,,20.2326,,8.35585,0.883524,1.32118,15.3031,,10.68,,,1.24949,3.10484,19.8382,,,,,,,,2.34942,,
Aries Dark Region DB-X d1-63 A 8 e,2018-04-02 07:58:20,Planet,Rocky body,2282.054688,1,0.17290272523735,0.00888,1445.40675,81,No volcanism,0.000206,0.017725,224.612045,-14.922016782407,,-2.603095,14.921882233796,0.026871179470605,0,90.8784,9.1216,,,,,81,,,,,15.2485,8.35604,,18.58,,7.67335,,1.21326,14.0531,1.26984,9.76233,,,1.14743,,18.1336,,,,,4.5626,,,,,
Aries Dark Region DB-X d1-63 A 8 e a,2018-04-02 08:00:06,Planet,Rocky body,2282.085205,1,0.056462532296106,0.000358,507.86215625,81,Minor Metallic Magma,,56.969582,297.447906,1.2618126085069,1,0.289353,1.2371132631713,6.8275630877679E-5,0,96.879,3.121,,,,,81,,,,1.4081,17.245,8.15494,6.04598,18.1328,,,,,13.7149,,11.0405,,,,,20.5079,0.648539,,,0.995675,,,,2.1056,,
Aries Dark Region DB-X d1-63 A 8 f,2018-04-02 07:56:16,Planet,Rocky body,2309.071045,1,0.12187315546745,0.003205,1034.2951875,81,No volcanism,0.005832,0.707292,69.812439,34.140598958333,1,0.103766,34.140289351852,0.046656896808358,0,91.111,8.889,,,,,81,,,,,16.1721,8.8212,,19.6143,,,0.856524,,14.8354,,10.3536,,,1.21131,3.00996,19.2319,,,,1.07702,4.81659,,,,,
Aries Dark Region DB-X d1-63 A 8 g,2018-04-02 07:55:42,Planet,Rocky body,2315.550293,1,0.17479239504228,0.009196,1462.92725,81,No volcanism,0.000812,0.003865,229.783417,50.708431712963,1,0.454016,50.707974537037,0.06073726149633,0,91.111,8.889,,,,,81,,2.60059,,1.56216,16.5864,,5.81509,20.1168,,,,1.31362,15.2155,,10.6189,,,,,19.7247,,1.50612,,,4.94,,,,,
Aries Dark Region DB-X d1-63 A 8 h,2018-04-02 07:55:04,Planet,Rocky body,2296.424805,1,0.18810717621968,0.011381,1568.816125,81,No volcanism,0.001695,-2.076497,190.877991,6.8463310185185,,0.022597,80.648790509259,0.082756655118621,0,91.111,8.889,,,,,81,,,,,16.3743,8.93149,,19.8595,,,0.867233,1.29682,15.0209,,10.4831,0.511373,,,,19.4724,,,,,4.87681,,,2.3061,,
Aries Dark Region DB-X d1-63 B,2018-06-02 01:57:40,Star,M (Red dwarf) Star,433504.6875,,,,,3395,,0.106112,-32.714592,260.4758,2.2424565972222,,,10346583.988148,610.37115130821,,,,,1,486,Va,3395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aries Dark Region DB-X d1-63 B 1,2018-06-02 02:53:42,Planet,Metal-rich body,433498.625,1,0.59978711650227,0.062854,2064.678375,1050,Major Silicate Vapour Geysers,2.0E-6,0.003295,188.339798,0.78951235171296,1,0.479834,0.78549895109954,0.01246117843307,0,0,100,,,,,1050,1.22289,,,,,14.7485,,32.7938,,13.5435,,,24.8039,,,,,,,,,,2.17464,1.80071,,,8.91213,,,
Aries Dark Region DB-X d1-63 B 2,2018-06-02 02:27:13,Planet,High metal content world,433498.03125,1,0.59518222877883,0.204004,3734.03925,796,Major Rocky Magma,4.3E-5,-0.001228,16.713713,1.8201877170139,1,0.108941,1.8109351490162,0.021746896909543,0,67.2355,32.7645,,,,,796,,,,,13.6118,,,22.7324,,9.38823,0.992685,,17.1938,1.55364,8.71448,,,1.40387,,16.1872,,,,,5.58228,,,2.6397,,
